account_sk,account_id,account_name,account_number,industry,type,ownership,description,customer_priority,rating,is_active,sla,owner_id,parent_id,annual_revenue,number_of_employees,number_of_locations,billing_city,billing_state,billing_country,shipping_street,shipping_city,shipping_state,shipping_postal_code,shipping_country,website,phone,fax,sic,account_source,clean_status,ticker_symbol,created_date,upsell_opportunity,effective_start_date,effective_end_date,is_current
5270c08fa07c8f7391ebbfe1e55ecbec,001Hp00002g1VGbIAM,Edge Communications,CD451796,Electronics,Customer - Direct,Public,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",Medium,Hot,Yes,Silver,005Hp00000hnUYPIA2,000000000000000AAA,139000000,1000,2.0,Austin,TX,,"312 Constitution Place Austin, TX 78767 USA",,,,,http://edgecomm.com,(512) 757-6000,(512) 757-9000,6576,,Pending,EDGE,2023-10-28 20:45:25,Maybe,2026-04-24 06:47:20.121340,9999-12-31,True
a29b7dac26da140c6b621e7d6e25277d,001Hp00002g1VGdIAM,Pyramid Construction Inc.,CC213425,Construction,Customer - Channel,Public,,,,Yes,Silver,005Hp00000hnUYPIA2,000000000000000AAA,950000000,2680,17.0,Paris,,France,2 Place Jussieu,Paris,,75251,France,www.pyramid.com,(014) 427-4427,(014) 427-4428,4253,,Pending,PYR,2023-10-28 20:45:25,Maybe,2026-04-24 06:47:20.121340,9999-12-31,True
bf93dbe2d0675a5d5f64c17b9682e9e5,001Hp00002g1VGeIAM,Dickenson plc,CC634267,Consulting,Customer - Channel,Private,,Low,,Yes,Bronze,005Hp00000hnUYPIA2,000000000000000AAA,50000000,120,2.0,Lawrence,KS,USA,1301 Hoch Drive,Lawrence,KS,66045,USA,dickenson-consulting.com,(785) 241-6200,(785) 241-6201,6752,,Pending,,2023-10-28 20:45:25,No,2026-04-24 06:47:20.121340,9999-12-31,True
aed79b5b1641e3ed780ede5c9abcff7d,001Hp00002g1VGfIAM,Grand Hotels & Resorts Ltd,CD439877,Hospitality,Customer - Direct,Public,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",High,Warm,Yes,Gold,005Hp00000hnUYPIA2,000000000000000AAA,500000000,5600,57.0,Chicago,IL,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,www.grandhotels.com,(312) 596-1000,(312) 596-1500,2268,,Pending,GHTL,2023-10-28 20:45:25,Yes,2026-04-24 06:47:20.121340,9999-12-31,True
bd8a091554195aa97a7a234d04d5bf62,001Hp00002g1VGgIAM,United Oil & Gas Corp.,CD355118,Energy,Customer - Direct,Public,World's third largest oil and gas company.,High,Hot,Yes,Platinum,005Hp00000hnUYPIA2,000000000000000AAA,5600000000,145000,955.0,New York,NY,,"1301 Avenue of the Americas  New York, NY 10019 USA",,,,,http://www.uos.com,(212) 842-5500,(212) 842-5501,4437,,Pending,UOS,2023-10-28 20:45:25,Yes,2026-04-24 06:47:20.121340,9999-12-31,True
ee434f1b8813df34e886a1262f23ee04,001Hp00002g1VGhIAM,Express Logistics and Transport,CC947211,Transportation,Customer - Channel,Public,Commerical logistics and transportation company.,Medium,Cold,Yes,Platinum,005Hp00000hnUYPIA2,000000000000000AAA,950000000,12300,150.0,Portland,OR,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,www.expressl&t.net,(503) 421-7800,(503) 421-7801,8742,,Pending,EXLT,2023-10-28 20:45:25,Maybe,2026-04-24 06:47:20.121340,9999-12-31,True
6641c952b818ba65ae391d36b0095363,001Hp00002g1VGiIAM,University of Arizona,CD736025,Education,Customer - Direct,Other,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",Medium,Warm,Yes,Gold,005Hp00000hnUYPIA2,000000000000000AAA,,39000,3.0,Tucson,AZ,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,www.universityofarizona.com,(520) 773-9050,(520) 773-9060,7321,,Pending,,2023-10-28 20:45:25,Yes,2026-04-24 06:47:20.121340,9999-12-31,True
27979b40c3cebef8636c4eadb30adddd,001Hp00002g1VGjIAM,"United Oil & Gas, UK",CD355119-A,Energy,Customer - Direct,Public,,High,,Yes,Platinum,005Hp00000hnUYPIA2,000000000000000AAA,,24000,34.0,,UK,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,http://www.uos.com,+44 191 4956203,+44 191 4956620,4437,,Pending,UOS,2023-10-28 20:45:25,No,2026-04-24 06:47:20.121340,9999-12-31,True
16e2cf1248c5095309d122ff1c02b066,001Hp00002g1VGkIAM,"United Oil & Gas, Singapore",CD355120-B,Energy,Customer - Direct,Public,,High,,Yes,Platinum,005Hp00000hnUYPIA2,000000000000000AAA,,3000,6.0,Singapore,Singapore,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,http://www.uos.com,(650) 450-8810,(650) 450-8820,4437,,Pending,UOS,2023-10-28 20:45:25,Maybe,2026-04-24 06:47:20.121340,9999-12-31,True
916cf5babe0ee15f001f6b2d8c704bce,001Hp00002g1VGlIAM,GenePoint,CC978213,Biotechnology,Customer - Channel,Private,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,Low,Cold,Yes,Bronze,005Hp00000hnUYPIA2,000000000000000AAA,30000000,265,1.0,Mountain View,CA,,"345 Shoreline Park Mountain View, CA 94043 USA",,,,,www.genepoint.com,(650) 867-3450,(650) 867-9895,3712,,Pending,,2023-10-28 20:45:25,Yes,2026-04-24 06:47:20.121340,9999-12-31,True
