solution_sk,solution_id,solution_name,status,is_published,is_published_in_public_kb,is_reviewed,owner_id,solution_number,solution_note,is_html,times_used,case_id,created_date,effective_start_date,effective_end_date,is_current
dc0b2ddafba7d3a1a360f64fa8acd8e4,501Hp000000EFfEIAW,GC1020 Portable Generator Switch Malfunctioning,Reviewed,1,0,1,005Hp00000hnUYPIA2,00000001,"If the generator switch is not working, remove the switch and re-assemble it. Often the switch gets displaced by a fraction of an inch preventing it from engaging with the internal generator mechanism.",0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
47e271db6439574d4589624947f1ebf4,501Hp000000EFfFIAW,Generator assembly instructions unclear,Draft,0,0,0,005Hp00000hnUYPIA2,00000002,The Maintenance Manuals for the GC1020 are currently in reveiw and will be shortly updated and distributed to all customers. We have received a fair number of complaints about the clarity of this manual and are working to resolve this problem at the earliest.,0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
35aa160d8dcb9f342de85a93fe3e6f40,501Hp000000EFfGIAW,Maintenance guidelines for generator unclear,Draft,0,0,0,005Hp00000hnUYPIA2,00000003,The Maintenance Manuals for the GC1060 are currently in reveiw and will be shortly updated and distributed to all customers.  We have received a fair number of complaints about the clarity of this manual and are working to resolve this problem at the earliest.,0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
6b0fc1fcfcbc07aca223406c069cb943,501Hp000000EFfHIAW,Selecting the Right Generator for Your Needs,Reviewed,1,0,1,005Hp00000hnUYPIA2,00000004,"GenWatt offers a wide range of electric generators for every need -- from high-powered industrial-strength generators, to medium-capacity standby generators, to emergency-use portable generators.  We offer diesel, propane,and gasoline generators ranging in power from 10kW at the low end to 2000kW at the high end.",0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
dbb6b1fa4906ab0f8e6ff7fdabad6050,501Hp000000EFfIIAW,GC3000 Series Propane Generator Ignition,Reviewed,1,0,1,005Hp00000hnUYPIA2,00000005,The GC3000 series propane generators need to be started up using the following process if the ignition fails at the first try: 1) Disengage the fuel source. 2) Use the vacuum pump provided to suck out the air above the fuel source. 3) Reengage the fuel source. 4) Try the startup again.,0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
b27d38e5d9d13b7232733b89a90ae9ca,501Hp000000EFfJIAW,Starting generator after electrical failure,Draft,0,0,0,005Hp00000hnUYPIA2,00000006,"After an electical failure, the generator has to be manually turned off before establishing the connection again.  If the generator is turned on while the switch is still in the ""On"" position, the generator will not start.  This has been built into the design for security and safety reasons.",0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
537c094031b2c30bb8526d0090d6c0f4,501Hp000000EFfKIAW,Electrical wiring installation for GC5060,Draft,0,0,0,005Hp00000hnUYPIA2,00000007,"The red wiring from the top electronic panel of the GC5060 and the yellow wiring on the main generator assemly have to be connected together.  The two connectors may appear to be incompatible but they do fit into one another.  To successfully make the connection, first press the button on the yellow connector before engaging the two pieces.",0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
fa96a5a855f0b17e01786b34a77724a5,501Hp000000EFfLIAW,GenWatt SLA Commitments,Reviewed,1,0,1,005Hp00000hnUYPIA2,00000008,GenWatt offers four different SLAs with different service commitments as follows:  1) PLATINUM        -  High priority cases: 2 hours        -  Medium and low priority cases: 6 hours  2) GOLD        -  High priority cases: 4 hours        -  Medium and low priority cases: 8 hours  3) SILVER        -  All cases: 12 hours  4) BRONZE        -  All cases: 24 hours,0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
581948e00167538a7a34c82b2bcd142b,501Hp000000EFfMIAW,Electronic panel fitting loose,Draft,0,0,0,005Hp00000hnUYPIA2,00000009,"On the GC3020, the electronic panel is known to disengage from the main generator body especially when used at the higher-end of the capacity limits.  We recommend you secure the electronic panel with additional bolts in the lower right and upper left corners using the additional bolt mechanisms provided at these locations.",0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
4e6ed02f2f53d616e2824850085a9878,501Hp000000EFfNIAW,GenWatt Installation Services,Reviewed,1,0,1,005Hp00000hnUYPIA2,00000010,"GenWatt Corporation has a full-service support organization offering customers every type of installation assistance -- from complete start-to-finsh, on-site delivery and installation to hourly installation consulting services.  Our engineers and consultants bring the highest level of technical expertise to the job and are well-known within the industry for their unparalleled service ethic.",0,0,000000000000000AAA,2023-10-28 20:45:25,2026-04-24 06:47:20.115294,9999-12-31,True
